年月日,国内株式,国内債券,国内リート,先進国株式,先進国債券,先進国リート,新興国株式,新興国債券,全世界株式
2018-10-31,10845,10328,15549,14947,10892,14759,13949,10701,10000
2018-11-01,10750,10328,15638,15068,10833,14545,14175,10612,10077
2018-11-02,10928,10324,15629,15247,10891,14644,14459,10728,10209
2018-11-05,10807,10322,15670,15243,10900,14572,14845,10832,10228
2018-11-06,10934,10320,15720,15293,10918,14726,14782,10898,10259
2018-11-07,10888,10322,15804,15361,10927,14814,14782,10928,10293
2018-11-08,11077,10321,15845,15681,10957,15055,14949,11006,10494
2018-11-09,11022,10323,15709,15697,10951,15129,14887,10961,10493
2018-11-12,11015,10328,15901,15543,10937,15112,14625,10889,10388
2018-11-13,10794,10333,15868,15230,10875,15036,14419,10790,10187
2018-11-14,10813,10339,15898,15299,10940,15113,14487,10807,10232
2018-11-15,10798,10341,15975,15163,10921,15041,14475,10832,10156
2018-11-16,10734,10343,15910,15253,10928,14895,14671,10887,10217
2018-11-19,10789,10359,15988,15176,10885,14895,14634,10885,10176
2018-11-20,10712,10350,15980,14973,10892,14893,14630,10891,10059
2018-11-21,10647,10360,15946,14734,10878,14796,14414,10851,9907
2018-11-22,10734,10360,15985,14854,10912,14865,14512,10920,9987
2018-11-26,10755,10366,16078,14755,10906,14859,14395,10900,9925
2018-11-27,10834,10368,16159,15020,10947,14941,14555,10895,10087
2018-11-28,10896,10356,16250,15060,10954,15013,14667,10922,10122
2018-11-29,10933,10373,16094,15311,10979,15138,14865,10959,10277
2018-11-30,10986,10370,16212,15290,10988,15072,14890,11022,10271
2018-12-03,11129,10374,16191,15372,10992,15137,14888,11039,10325
2018-12-04,10866,10392,16210,15547,11010,15218,15179,11067,10426
2018-12-05,10808,10386,16209,15060,10968,14925,15008,10945,10143
2018-12-06,10611,10395,16192,15017,10978,14925,14871,10937,10096
2018-12-07,10676,10384,16268,14870,10998,15184,14544,10897,9995
2018-12-10,10474,10398,16027,14623,10988,15056,14476,10899,9842
2018-12-11,10380,10396,15989,14627,11034,14978,14290,10875,9824
2018-12-12,10587,10392,16035,14718,11052,15057,14399,10923,9897
2018-12-13,10652,10390,16097,14839,11052,14895,14599,10973,9983
2018-12-14,10491,10405,16224,14859,11066,14961,14714,10978,9992
2018-12-17,10504,10411,16231,14599,11042,14911,14491,10920,9835
2018-12-18,10295,10421,16107,14273,11001,14415,14350,10897,9633
2018-12-19,10253,10415,16037,14212,11008,14458,14260,10882,9588
