ì˙ït,äÓèÄâøäz
20181031,10000
20181101,10077
20181102,10209
20181105,10228
20181106,10259
20181107,10293
20181108,10494
20181109,10493
20181112,10388
20181113,10187
20181114,10232
20181115,10156
20181116,10217
20181119,10176
20181120,10059
20181121,9907
20181122,9987
20181126,9925
20181127,10087
20181128,10122
20181129,10277
20181130,10271
20181203,10325
20181204,10426
20181205,10143
20181206,10096
20181207,9995
20181210,9842
20181211,9824
20181212,9897
20181213,9983
20181214,9992
20181217,9835
20181218,9633
20181219,9588
20181220,9501
20181221,9283
20181225,8878
20181226,8929
20181227,9230
20181228,9254
20190104,8926
20190107,9261
20190108,9346
20190109,9414
20190110,9448
20190111,9504
20190115,9456
20190116,9531
20190117,9600
20190118,9685
20190121,9820
20190122,9816
20190123,9694
20190124,9718
20190125,9756
20190128,9814
20190129,9735
20190130,9759
20190131,9848
20190201,9905
20190204,9973
20190205,10047
20190206,10098
20190207,10070
20190208,9958
20190212,10029
20190213,10140
20190214,10192
20190215,10128
20190218,10232
20190219,10243
20190220,10286
20190221,10321
20190222,10301
20190225,10368
20190226,10413
20190227,10380
20190228,10387
20190301,10418
20190304,10513
20190305,10477
20190306,10452
20190307,10402
20190308,10292
20190311,10200
20190312,10382
20190313,10390
20190314,10452
20190315,10516
20190318,10550
20190319,10577
20190320,10616
20190322,10570
20190325,10309
20190326,10330
20190327,10415
20190328,10348
20190329,10429
20190401,10519
20190402,10656
20190403,10684
20190404,10734
20190405,10763
20190408,10765
20190409,10781
20190410,10715
20190411,10742
20190412,10791
20190415,10879
20190416,10874
20190417,10904
20190418,10882
20190419,10880
20190422,10880
20190423,10870
20190424,10934
20190425,10927
20190426,10868
20190507,10755
20190508,10560
20190509,10520
20190510,10437
20190513,10460
20190514,10237
20190515,10318
20190516,10356
20190517,10476
20190520,10435
20190521,10376
20190522,10471
20190523,10424
20190524,10263
20190527,10278
20190528,10291
20190529,10201
20190530,10151
20190531,10142
20190603,9976
20190604,9954
20190605,10119
20190606,10187
20190607,10247
20190610,10354
20190611,10409
20190612,10443
20190613,10392
20190614,10410
20190617,10387
20190618,10379
20190619,10497
20190620,10494
20190621,10544
20190624,10540
20190625,10516
20190626,10438
20190627,10476
20190628,10521
20190701,10623
20190702,10703
20190703,10660
20190704,10739
20190705,10757
20190708,10766
20190709,10739
20190710,10744
20190711,10720
20190712,10766
20190716,10750
20190717,10760
20190718,10656
20190719,10668
20190722,10664
20190723,10688
20190724,10759
20190725,10791
20190726,10788
20190729,10802
20190730,10831
20190731,10758
20190801,10716
20190802,10458
20190805,10258
20190806,9961
20190807,10044
20190808,10050
20190809,10210
20190813,10002
20190814,10178
20190815,9919
20190816,9927
20190819,10074
20190820,10201
20190821,10122
20190822,10219
20190823,10200
20190826,9885
20190827,10000
20190828,9987
20190829,10048
20190830,10194
20190902,10186
20190903,10202
20190904,10116
20190905,10295
20190906,10463
20190909,10477
20190910,10527
20190911,10562
20190912,10674
20190913,10734
20190917,10702
20190918,10717
20190919,10731
20190920,10712
20190924,10629
20190925,10519
20190926,10580
20190927,10584
20190930,10556
20191001,10615
20191002,10474
20191003,10231
20191004,10266
20191007,10359
20191008,10403
20191009,10258
20191010,10345
20191011,10491
20191015,10652
20191016,10769
20191017,10773
20191018,10800
20191021,10754
20191023,10788
20191024,10835
20191025,10870
20191028,10906
20191029,10982
20191030,10964
20191031,10999
20191101,10884
20191105,11116
20191106,11140
20191107,11132
20191108,11213
20191111,11183
20191112,11166
20191113,11153
20191114,11115
20191115,11103
20191118,11202
20191119,11181
20191120,11190
20191121,11129
20191122,11128
20191125,11165
20191126,11267
20191127,11291
20191128,11354
20191129,11361
20191202,11328
20191203,11198
20191204,11075
20191205,11169
20191206,11184
20191209,11252
20191210,11233
20191211,11231
20191212,11256
20191213,11466
20191216,11478
20191217,11577
20191218,11580
20191219,11599
20191220,11597
20191223,11635
20191224,11654
20191225,11639
20191226,11669
20191227,11723
20191230,11736
20200106,11569
20200107,11624
20200108,11539
20200109,11717
20200110,11828
20200114,11947
20200115,11916
20200116,11930
20200117,12036
20200120,12071
20200121,12067
20200122,11985
20200123,11974
20200124,11932
20200127,11811
20200128,11603
20200129,11711
20200130,11685
20200131,11667
20200203,11453
20200204,11514
20200205,11779
20200206,11933
20200207,11987
20200210,11888
20200212,12003
20200213,12074
20200214,12049
20200217,12048
